Features,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
BX101820,-1.221,0.5304,-1.1793,-0.3055,-0.2928,-0.6027,0.3465,0.7567,-0.6735,-0.2104
AI018361,-0.9039,0.1372,-0.2556,2.4376,0.5385,-0.3726,-1.4857,-0.9139,-0.3817,0.751
LRP10,0.0334,-0.73,1.5136,0.432,-0.3423,0.622,-1.2407,-0.4586,-1.1771,-0.8394
ZZEF1,-1.4548,0.3109,-0.8017,-0.349,-0.9971,-0.6529,-0.4473,-2.2361,-0.7769,0.0687
LILRA4,0.31,0.7345,0.9945,0.0495,0.7721,2.609,0.6606,1.702,-0.4556,0.8192
CDK7,0.5467,-1.1289,-0.5544,0.2388,0.3628,0.4228,-0.0588,0.7423,1.1245,-0.0521
CEBPZ,-0.6691,-0.1306,-1.0845,-0.2113,0.0052,-0.8753,0.1231,-1.0809,-0.2723,0.0232
CHST9,-0.6371,-0.3161,1.5408,-0.629,-0.2198,-0.42,1.0319,-0.4991,1.4247,0.5736
CACNA1B,1.1484,0.5599,-0.5014,-0.0759,0.7453,-0.1505,-1.3462,0.0526,-0.3785,-0.6172
CCDC107,0.0588,2.1303,0.6086,-0.5653,0.92,0.4114,0.3044,0.3209,-0.1849,-0.0859
BC034913,-0.2202,1.0268,-0.7424,0.6296,1.2735,-0.3952,-0.0627,-1.2207,1.5275,0.1986
EIF3K,-0.287,0.3285,-0.5918,0.7685,1.3272,-0.0914,0.1509,-0.9896,-0.59,-0.3442
AGTPBP1,-0.5443,-0.4988,-1.477,-0.3788,-0.0142,-0.8203,-0.1239,-1.3097,1.0536,-0.0786
C16orf7,0.2987,-0.1939,-0.1731,-0.6766,-0.5352,-1.2063,-1.4823,-1.44,-1.2469,-1.0505
BF510056,-0.5839,0.081,-0.4373,0.8443,-1.9369,-0.3642,0.2507,0.268,-2.0483,0.582
RAP2C,0.7088,-0.9169,-0.6652,-0.0638,-0.2197,0.3233,-1.1218,1.7695,-0.1059,-0.7783
FAM131B,1.6123,-1.0114,-0.3206,-0.2108,0.7709,0.4167,-0.7223,1.8551,1.3716,-0.8502
SNRNP25,0.6354,1.7327,1.1372,1.836,0.9679,0.5875,-0.1958,0.2567,2.2039,0.2332
AA824337,0.7248,-0.8753,-0.102,0.1625,0.3205,-0.197,0.1894,0.9586,0.7762,0.1743
UBTD2,2.1165,0.912,0.6407,0.8648,1.1938,0.2417,0.5991,1.5561,0.8498,2.1311
CA388703,-0.5264,0.3452,-0.5262,-1.2765,1.7804,-0.7405,0.3757,-0.3575,2.1325,-0.8242
TUBA4A,-0.6853,0.8469,-1.3979,-1.2689,-0.2092,0.0591,-0.956,-0.6358,-1.3491,-0.4794
KLC4,-0.1203,-0.9346,1.7253,-0.0349,0.4962,1.298,-0.1259,0.3494,0.6611,1.4338
ANKRD20A5P,0.6267,2.1699,-0.6597,0.1581,-0.0898,-0.5621,-1.6151,-0.3252,0.984,-1.3998
PTEN,-1.7314,-2.0674,-0.3816,-0.4936,-0.4954,0.1475,1.114,0.2666,-2.451,-0.1456
MRPL15,-0.073,0.7371,-0.365,0.2464,0.2489,-0.935,-1.5263,-0.0068,0.0586,-1.3161
SARNP,-0.3017,-0.0853,-0.6936,0.0865,0.2876,-0.6193,1.0831,0.3355,0.1938,-0.3187
ZC3H3,0.0875,1.4142,-0.1839,-0.5039,-1.3672,-1.1599,-0.9025,0.5937,1.2485,-0.3395
C18orf62,-0.7308,-1.2137,0.3824,-1.7883,0.0508,0.4746,-1.1997,0.7547,-1.299,2.1771
ISL1,-0.6043,-0.7767,-0.354,-0.1137,0.3053,-0.0251,-0.9206,-1.3958,-0.6352,-0.2144
SS18L2,-0.1871,-0.3476,-2.4438,0.0351,0.204,-0.0966,1.213,0.3711,-0.2482,0.59
LOC126536,0.2051,-0.9766,-0.2371,-1.2314,1.16,-0.4071,0.063,-1.3395,0.1424,-0.5085
ZNF471,-0.2929,-0.4927,-0.7397,-1.2452,1.1005,0.6131,1.8974,0.9956,1.5356,-0.7521
PDXDC2,0.2386,0.6193,1.9787,0.3096,-0.3074,2.3066,-0.1904,0.7874,1.3989,0.701
BM982501,-0.5079,-0.6348,0.3306,-1.0391,1.4412,-0.2037,-1.0995,-0.0025,0.4031,-0.4429
BU689306,0.6623,-1.2985,0.9181,0.8792,1.5182,2.3426,1.0359,-0.0262,-0.3604,-0.0008
MMP12,0.1964,1.2924,-0.6392,-0.7284,0.0586,-0.7276,0.1821,2.0085,-0.1915,-0.6964
RAB11FIP2,-0.791,-0.5821,0.3821,0.7966,1.3619,-0.3884,1.6739,1.2594,-0.098,0.4691
PARD3,0.3161,0.112,1.4824,0.8641,-0.6462,0.5034,0.8717,-1.0494,-0.5588,-0.0448
C11orf93,0.8329,1.0236,0.0854,0.6895,-0.8932,-0.8747,0.6541,-0.989,-0.8157,0.6722
TROAP,0.5123,1.5543,-0.1997,-0.0613,0.1312,-0.665,-1.472,-0.3457,1.0362,-0.2835
FAM58A,0.29,2.098,0.4688,-0.5795,-0.7579,-0.2849,-0.5593,-1.0372,-0.4902,-1.1771
NEK1,-1.151,-0.7604,-1.416,-0.0101,1.3564,-0.6089,-0.1699,-0.1951,-1.14,-0.9354
POU4F2,0.6205,-0.2468,-2.1058,-0.4399,0.5716,-0.0589,0.2597,0.2756,-0.6425,-0.9245
TMEM200C,-0.9811,0.9384,-0.9532,0.2875,1.1835,-1.3247,0.4723,-0.3495,-0.5624,0.766
C1orf131,1.7316,-0.533,-0.2313,0.2482,1.3685,0.9933,1.6549,-1.2023,2.8805,0.3516
DDX58,-1.0693,-0.5438,0.6266,2.5723,-1.131,-1.1266,-1.1185,-0.5915,-0.4168,-0.6294
BX089355,0.6109,-1.011,0.4904,-1.1664,-0.9461,-0.3356,-1.538,-0.9045,0.8792,0.0641
AX747187,-0.2011,-0.4111,0.3904,-0.0933,1.3602,-2.1558,0.2087,-1.254,-0.5494,-0.0107
PRPF38B,-1.1204,-0.7529,-0.548,0.2333,-0.0173,1.349,0.2151,-0.5114,1.0359,1.1962
NLRP13,-1.0668,0.0018,0.5618,1.3434,0.2419,-0.02,2.5575,-0.5947,0.537,2.4309
HSPC072,-1.711,-0.9473,-1.4545,0.659,-0.8315,-0.843,-0.4815,0.4241,-0.7812,-0.6224
TPST1,-1.3657,0.5658,1.0437,-0.3101,1.332,-1.8668,-0.0811,-0.1959,0.8629,-0.1697
UBE2D3,0.7773,0.8564,0.1123,1.0083,0.6424,0.6193,0.1653,0.4333,0.6001,1.5079
ARL4D,-1.1197,0.1663,-0.1595,1.0599,0.2262,-1.688,0.5319,4.336,-1.2407,0.945
IL17A,-0.4312,-0.3636,0.2401,-0.0966,0.1579,0.4388,1.7262,-0.8885,0.4998,0.0091
HNF4A,-0.6903,-0.299,1.1366,0.9746,-0.2923,0.8635,-0.9123,-0.6181,5.3539,0.1508
MRPL41,0.884,-0.2817,0.0241,0.4676,-0.3312,0.5556,-1.1873,-0.4685,-0.9507,-0.0696
ZC3H6,0.8297,0.3837,-0.6482,0.7068,0.9487,0.0053,0.9051,0.9951,-0.0772,-0.5443
BF478168,-0.5964,0.109,-0.1586,-0.296,1.4142,0.8393,-0.6992,0.1703,-1.0777,0.5751
DYNLRB1,1.2875,-0.5752,0.2263,0.4028,0.1677,-0.3074,-1.836,1.1933,-0.3758,-1.0211
UGDH,-2.0039,-0.6253,-0.0571,0.5212,0.6184,1.263,0.1318,-0.2743,-0.4836,-1.2872
C14orf135,0.171,0.3748,0.4892,1.3411,1.562,0.0409,1.6648,0.2985,1.3316,1.0874
PPT2,-1.3787,-1.0612,1.3329,0.8762,-0.8529,0.3849,0.0429,0.6894,0.2597,0.724
SULT1B1,0.537,-0.6805,0.7856,-0.1233,-1.4264,0.2025,-0.091,0.1762,0.2732,-0.7926
CEACAM8,-1.9787,-1.5084,0.9143,-0.0549,1.4891,-0.1984,1.185,-0.192,0.9882,-2.0083
BMPER,-0.4069,-1.8725,-0.5872,0.5477,0.29,0.8941,1.7577,-0.9356,0.6132,1.6572
CK818352,-1.187,-0.142,1.1365,0.9489,-0.1514,0.9309,-1.2162,0.0591,0.9964,-0.6747
KCNC3,-1.6782,-1.1997,0.8455,0.9866,-0.8419,-0.5338,1.0251,0.4552,-0.4362,0.3495
OSGEPL1,0.8022,0.6473,1.4699,1.0893,1.0165,1.4536,1.3518,1.5496,1.084,1.4764
BE674400,0.1761,0.1342,0.1549,0.0624,-0.8055,-0.0112,-0.6488,-0.867,-0.6921,-1.075
DIS3L2,0.1541,0.1419,-1.077,-0.163,-1.063,-0.8773,-0.3447,0.2957,0.3949,0.3289
CEP290,-1.38,-1.024,-0.9842,0.3696,0.2549,-0.3486,0.0712,2.3922,-0.4315,-1.1735
CALN1,-0.3073,0.4288,0.5634,-0.4305,1.1642,-0.0513,-0.5019,-0.1941,-0.8682,0.2457
ATF3,0.7075,0.2309,-0.5816,0.6358,1.9182,-0.876,2.4356,1.2176,1.1516,1.7572
CENPF,1.6765,0.6477,-0.3079,0.1173,1.5407,-0.4961,-0.6198,0.0736,1.6748,-0.2891
GBA,0.7335,-0.1642,-0.2585,-0.2061,1.1453,2.2424,-0.3512,0.7087,-0.0885,0.1316
UFC1,0.7056,-1.1867,-1.3117,-1.0857,1.3581,1.7603,1.7823,-0.7741,1.2668,0.964
PTPRT,0.0595,-0.2648,-0.51,-0.5588,0.2494,0.6669,1.2249,1.1995,0.0905,2.0001
BX118433,0.9898,0.1759,-0.999,-1.2351,-1.053,-0.3303,-0.2878,-0.3682,-0.4292,-0.4914
BM665414,-1.0895,0.4747,0.1917,-1.3243,0.117,-0.0877,-0.4302,-0.0934,0.0548,0.0267
C6orf26,-1.1621,-1.3697,1.4507,-0.2062,-0.4623,-0.8185,-0.256,1.1606,0.853,-0.7097
AW118227,0.611,0.0203,-0.9319,0.1064,-1.6919,0.4416,-1.0258,-0.3257,-0.5532,2.4752
AA507704,-0.7636,0.5674,1.028,1.3577,0.4734,1.4563,1.0726,0.9448,-1.6286,-0.2945
AK055323,-0.5646,-0.419,-1.5871,-0.7922,-0.9838,-0.9929,0.0139,-0.8338,-1.4825,0.0625
FAM196A,-0.5186,-0.2959,0.1969,-0.6599,-0.2418,1.5749,-0.7518,3.6642,-0.2181,-0.1615
BM677967,-0.3998,0.4195,1.5163,-0.8469,0.3454,0.0694,-2.2303,-0.6769,0.7737,-0.5232
CD300A,-0.7928,0.4724,0.9159,-0.3127,-0.5778,-0.2027,-0.5506,1.8971,0.9802,0.3189
CYP2A7,-0.42,-0.2493,-0.1639,-0.2914,-0.2561,-0.3267,-0.4491,-0.4727,-0.3772,-0.541
C4orf27,0.1723,0.013,-1.0701,0.1689,1.2888,0.3646,0.1984,0.6053,0.3431,0.8971
AK024576,-1.3369,0.3445,-0.4712,-1.9721,-0.5531,-0.6198,0.7996,-0.9258,-0.7622,-0.7142
TAS2R1,0.2958,-1.051,-1.0765,-2.2032,1.5018,0.0046,-1.4774,0.6194,0.649,0.6186
NID1,-0.3582,0.8557,1.7799,0.776,1.4765,-0.2712,-0.2608,-0.442,0.0552,0.5937
KCNV1,-0.569,-0.3972,-0.9228,1.5805,1.7167,-0.9576,0.3688,-0.9493,-0.1708,0.0207
CER1,-0.672,-0.7522,-0.8025,-0.4645,-0.3228,-1.1492,0.9382,0.9515,1.664,-1.6181
POLR3B,-0.6415,-0.3668,-1.2711,0.5085,0.2502,-0.7033,1.0994,0.3154,-1.4398,-0.2086
GC,-0.496,-1.8303,0.5783,0.264,-1.1305,-1.2412,-0.6257,-0.1393,-0.4481,1.189
KIAA0979,1.1519,-0.361,-0.3922,-1.1306,0.212,0.2755,-0.6941,-0.0269,0.7755,1.3709
AW015320,0.1303,-1.2811,0.3039,1.3432,0.6255,-0.0752,-0.75,-0.2973,-0.2997,1.3311
MNX1,3.9816,0.8615,-0.8251,-0.1505,-0.4266,1.2301,-0.5469,-1.212,-0.5345,0.1203
PLCL1,-0.1661,-0.0783,0.0392,-0.9856,0.835,1.923,-0.3033,-1.4358,-0.2296,-0.387
DEFB122,0.8735,-0.0951,-0.6784,0.4693,0.5633,-0.3689,-0.307,-0.2895,-0.0916,-0.0014
LCTL,1.1017,-0.0354,0.2157,0.8587,1.287,0.4304,-0.2197,-1.4087,-0.5235,-0.1588
AI699347,-2.509,1.0185,-1.2667,0.9978,1.6286,-0.5394,-0.5711,0.1733,-0.0219,1.5
C1orf9,-0.8278,-0.1654,-0.5771,-0.5072,0.6338,0.0249,-0.8066,-0.4648,-0.3534,-0.9085
LOC388242,0.8683,0.8784,0.796,0.4179,-1.029,1.4571,0.1113,1.3299,-0.8428,-0.4275
STX7,0.5794,1.4803,-0.1499,0.9871,1.2358,-0.7561,-0.894,0.1325,0.5168,-0.5265
RAPSN,-0.7157,0.1543,0.5868,-0.3394,-0.4408,-0.3169,-0.9925,0.5437,-0.4421,-0.2384
PRSS21,-0.533,-0.6107,-0.5679,-0.6674,-0.7041,2.3652,-0.1014,-0.6217,-0.9319,0.2228
HMGA1P7,0.1728,0.9957,0.0439,0.5093,-0.9738,0.3877,-0.4134,-0.0281,-0.2126,-1.361
BF592050,-0.7849,-0.3678,-0.3839,1.6,-0.3362,0.4864,0.0026,-0.468,0.6067,-0.8652
TOMM20L,1.1053,-0.8354,-0.8817,-0.2238,0.1172,0.8129,-0.2979,-1.2796,-0.9552,0.2723
NXT1,-0.6539,-0.112,0.2178,-0.0113,0.0409,-0.9022,0.382,0.9383,1.4794,-1.0739
SPINK14,0.9564,-0.2912,-0.1501,0.2303,-0.0365,-0.0273,0.1584,0.04,0.7888,-3.0942
LRP8,-1.1657,1.6042,-0.264,-0.4721,-0.7588,-0.7837,-0.7153,-0.4745,-0.7942,-0.811
FTSJD2,0.4821,-0.309,0.6435,1.5697,-1.3047,-1.4979,-0.8438,-0.3459,0.104,-1.3214
RPL29,1.5523,0.8128,-0.8352,0.3993,0.4458,-1.1918,-0.4931,0.4098,0.195,-0.3181
ANK2,-0.9565,-1.5609,-0.9505,-0.1124,-0.1027,0.1264,0.5492,-0.5016,-0.4272,-0.3946
CK823715,0.7224,1.1266,-0.6451,-0.6694,-0.0078,1.4069,1.266,-0.4275,1.1344,0.9148
LEMD2,-2.2416,-0.2476,0.3808,-0.2569,-1.3234,-0.4838,-0.8613,-0.3866,0.158,-1.5493
ATP5C1,0.296,0.3133,0.0239,0.3075,1.2202,0.2172,-0.3886,0.2786,1.2017,-0.0582
AI792396,-0.1922,-0.0981,-0.2915,0.3281,-0.8727,0.3686,0.3046,-0.6369,0.8665,-1.1922
BX097079,-0.145,-0.2447,-0.0945,-0.2385,0.4161,0.9619,-0.8837,0.0955,1.0779,0.5403
C1orf173,-0.5241,-0.6543,0.6283,-0.1645,-0.3988,1.3506,0.2415,0.0904,0.1429,-0.4817
BX103317,-0.4636,-0.061,0.1688,0.0721,-0.5226,-0.8359,-0.7375,-1.4477,-0.0025,0.2441
SMTNL1,-0.387,-0.1575,-0.4308,-0.0038,-0.2336,-0.1536,0.1824,1.0569,-0.7326,0.6212
BE617126,-1.7635,0.0057,-2.1523,-0.7226,-1.5829,0.1212,-0.457,-0.222,-1.1888,-0.7359
AI382303,-0.6532,-0.7799,-0.0046,-0.1351,1.072,1.2386,-0.0915,0.1534,-0.1857,-1.9362
ZC3HC1,-0.6467,-0.5787,-1.1921,-0.236,0.9435,-1.7344,0.6273,-0.7843,0.4562,0.1061
BU166084,0.2829,1.0194,0.0301,1.0263,0.6325,-1.2946,-0.4795,0.9432,-0.0982,-0.0255
PRPS1,-0.1738,0.5116,-0.3608,1.343,1.212,0.6985,-0.139,0.9065,0.3457,1.2683
TMEM200A,-1.516,0.3473,0.5607,0.0579,0.9334,-1.7051,-0.3406,-0.5528,-0.7097,-1.1744
GPR56,1.1536,0.2752,0.1749,0.3407,-1.2248,-0.5693,0.243,0.4978,-0.0673,1.4352
RUVBL2,-1.682,-0.4448,-0.0177,0.1472,0.9602,-0.2428,-0.3105,-0.9145,0.5531,-0.3097
RAE1,3.0244,0.5767,0.4115,-0.2423,0.3686,0.0979,-0.3031,0.8812,1.1845,1.2612
BM984008,0.0005,-0.1656,1.721,0.5882,0.7556,1.1038,-1.306,-0.0665,-0.1435,-0.0966
XPNPEP2,-0.6484,-0.207,-0.9784,-0.6501,-0.4889,-0.4415,-0.7379,0.1038,1.0798,-0.4999
DB336905,-0.7327,-0.725,-0.645,0.7567,-0.8673,0.4752,0.1689,0.7084,-1.0467,-0.8933
HNF1A,0.6452,-0.7795,-0.1255,-1.2443,0.8778,-1.6258,-0.6461,-1.0304,-1.5347,0.7686
DB335528,-0.016,-0.4394,-1.2107,0.2537,0.7091,-0.8509,-0.549,-1.0284,2.3838,-0.0701
GABBR2,-0.0109,0.1596,-0.3199,-0.4643,-0.3495,-0.4646,-0.306,-0.1519,-0.2608,-0.531
BI517762,0.5566,0.7145,0.3393,-0.5323,0.9404,0.7016,-1.8778,0.5027,1.0099,1.0103
AA776004,0.1956,1.518,0.0113,0.4254,1.9229,-0.9831,0.7236,0.0668,-0.6982,-0.0752
C1orf46,0.1526,0.576,-0.5709,-0.8274,-1.4376,-0.5931,-0.61,-0.5919,0.1718,-0.4753
CHRM4,-0.0039,0.1297,0.034,-0.5349,-0.5095,-0.3367,0.8612,-0.4307,-0.9405,0.2838
UNC93B1,1.4144,0.0031,1.2304,1.0278,-1.2192,-0.2058,-0.7821,-0.1546,2.3156,-0.0047
SP5,-0.5547,-0.3732,-0.5182,0.4638,-0.4402,4.3445,-0.4326,-0.5715,-0.2044,-0.5285
POMT1,-0.2315,0.9125,0.4693,-0.1653,-1.3663,-1.0503,-0.2426,-1.9605,0.4892,0.2785
HM031116,1.336,-0.4208,-1.4707,0.8386,-0.9539,-0.6607,0.317,0.881,-0.9599,-0.231
TMEM150A,1.2921,0.3733,0.3819,0.3545,-0.3884,-0.6675,-0.9024,-0.3437,-0.0935,-1.0625
MUSK,-0.0056,0.3599,-0.171,-0.298,0.2496,1.0003,-1.0245,-0.7715,-0.4255,0.9171
CA313418,-2.5509,0.7488,0.1423,0.6127,-0.2578,-0.3467,-0.8647,-0.3972,-0.0337,-0.584
C20orf173,0.2346,-0.1039,-0.2847,0.3511,-1.07,0.4139,0.179,0.5913,-1.8965,-0.7534
ZAP70,-0.6227,-1.2835,-0.6568,-1.1526,-0.7841,-1.0812,-0.1864,-0.6723,0.2756,-0.6869
MRPL51,0.0273,1.1929,-1.4294,0.6146,0.7438,-0.3022,-0.2061,0.0848,-0.0907,-0.033
BX108917,1.6987,1.1852,-1.4476,0.2637,0.9696,1.1887,0.1161,1.9984,0.2422,-0.0661
BC169297,-0.3422,-1.6501,-0.4189,1.3968,-1.2307,0.7558,-1.014,-0.7261,0.2208,0.2937
OTUB1,1.5991,-0.2431,0.0733,0.1935,-1.1264,-0.2215,-0.8259,0.6282,-0.563,-0.7708
ACOT4,0.0964,-0.551,0.4892,1.8555,1.2909,1.4046,-0.618,0.9037,-0.2268,0.6224
AW450402,-0.7583,0.3343,-0.0667,-0.3582,-0.1599,-1.9474,-0.4358,-0.3239,1.0755,-0.807
SAMD5,-0.6972,0.3698,-0.3439,-0.6177,0.1716,-0.4062,4.0518,-0.2639,-0.5678,1.1836
ETFA,0.831,2.2728,0.1335,0.3341,0.344,-1.3326,-0.1796,-2.0008,-0.0696,0.4568
POU5F1P4,0.2056,0.5357,-0.8164,-1.4541,-0.2392,0.1392,0.0391,0.1234,-1.0091,-1.2935
ATG2B,0.3105,0.2639,-0.1654,-0.2605,1.8461,-0.1871,-0.3044,0.6354,-0.7668,-0.1689
FAM8A1,-1.5897,-1.7631,-0.5951,0.1696,-0.0723,0.6427,-0.4494,0.3169,-0.5147,-0.4989
PEX13,0.943,2.9572,-0.7209,0.9675,0.9477,0.8125,-0.5917,-0.0043,0.3187,0.5419
DB361375,-1.7065,-0.7088,-0.3504,0.1137,1.1554,1.1537,-0.3876,2.3337,0.1443,0.6229
PLEK,-1.1145,0.0306,-0.208,0.0168,-0.7548,-1.2331,-0.9103,0.4296,0.183,-0.0909
AI733327,-1.0347,-1.2673,1.0839,-1.4666,0.1347,0.2021,0.6273,-0.2437,-0.9039,0.5132
PROC,-2.3369,-0.2892,-0.4265,-0.591,-0.0201,-1.5288,-0.9625,-0.9992,-0.2201,0.5633
ABCB10,1.4972,-0.5809,0.2794,-0.5388,1.0555,0.7958,1.0118,0.7711,1.9295,0.3207
FAM90A7,-0.6212,-0.451,-1.1266,-0.7817,-0.2086,-0.9471,-0.5969,-1.4546,0.5825,-0.2365
ANKRD13C,-1.3666,-1.1181,0.4712,-0.155,1.2686,-0.365,-0.2894,0.6324,0.7523,0.4638
TNFSF15,0.3122,1.0981,1.0009,-0.1759,0.9766,1.9338,0.3283,1.0013,-0.0342,-0.1501
TUSC2,-0.8954,-1.4981,-1.1599,1.1588,-0.6176,0.7444,-0.0986,1.3256,-0.846,-0.2204
GHRHR,0.0665,-0.659,1.0738,0.3022,0.1498,1.6564,-0.4045,0.2615,-0.3633,-0.3625
ACTL6B,0.447,0.0869,0.0579,0.0291,-0.5376,-0.6631,0.0165,0.1094,-0.0219,-0.3355
HAUS4,1.3103,-1.1715,-0.7252,-0.5956,0.9259,0.6631,0.4325,1.7757,1.4551,1.2091
ZNF624,-0.5391,-1.1409,0.0072,0.3112,1.1119,0.4267,0.4473,0.1649,-0.5489,-0.1376
PHLDA2,3.5548,2.1747,-0.6811,-0.635,-1.0185,0.5776,-0.8444,-0.4336,-0.6513,-1.3561
ESRRB,-1.2308,1.9909,0.4688,-0.4192,-0.9378,-0.1749,1.6281,1.3675,0.1116,-0.649
HIPK4,-0.4729,-0.7732,-1.0142,0.902,0.3009,-0.4334,0.7266,1.1858,-0.9076,-1.6244
LOC100506049,0.1388,-0.2289,-1.1486,0.7773,-0.7201,1.8821,-0.1094,0.1205,0.9692,0.4958
DB341244,1.3197,-0.865,-0.8881,2.0443,0.5968,-0.9993,-0.8027,-0.8378,0.3489,0.4574
CK299101,-1.2466,-0.8046,-0.575,0.6868,1.1705,-1.4208,-0.0459,-1.1947,2.1034,2.1468
DA723373,-1.0948,1.1396,1.1001,-0.8051,-0.027,-2.2694,-1.1713,-1.1646,1.9139,-0.4334
LOC285456,-1.1927,1.0943,0.021,-1.596,-1.0603,-0.2363,0.1711,-1.1656,2.6481,-0.1275
DB302891,0.2746,-1.3803,-1.5796,-0.2583,-0.1646,-0.5535,-0.6843,-0.1939,1.2515,0.3395
GABRP,-0.8842,-0.8,-0.8493,-0.7205,-0.6756,-0.5345,1.6716,-0.752,-1.0443,0.3154
TTI1,0.1081,-1.3188,-1.1649,-0.9773,-0.9777,-1.1708,-0.8526,0.424,-0.0269,-0.8497
NDUFA9,-0.3851,0.9282,-1.7761,0.0236,-0.0169,-0.4806,-0.1784,-1.141,-1.2136,0.1401
ASH1L,1.8339,-1.1374,-0.3413,-0.7123,0.5949,-0.0595,-1.2233,2.0652,-0.0257,-0.7136
BX116167,0.5753,1.0764,-0.6782,1.5082,-1.1615,-0.5101,0.043,-1.6962,0.337,0.8057
AW188330,0.2437,1.5849,-0.6849,0.5426,-0.0107,0.5472,0.0362,0.4973,0.2763,-0.5999
TMEM52,-0.836,-0.1557,1.0423,-0.5942,0.3405,0.3405,1.3056,-0.0789,0.5619,-0.6682
SOSTDC1,-0.6281,-0.9324,-0.695,-0.508,-0.619,-0.659,1.3373,-0.4744,-0.7601,0.522
CLDND1,-0.9609,-1.1209,-0.0088,-0.3667,0.1241,-0.6852,2.1437,-0.7158,1.567,0.0021
INTS5,1.7154,-0.0794,-0.2176,-0.5524,-1.2793,0.3462,0.1225,0.2566,-0.6795,0.9988
TEPP,1.7175,1.0616,1.1509,-0.6834,0.89,-0.0602,1.5854,2.8132,2.2209,0.2627
LCP2,-0.3942,-0.9692,-0.2523,0.5746,-1.1305,-0.9716,-0.8765,-0.5211,0.9439,-0.8207
BU182441,-0.0405,-0.4605,0.4386,0.1705,-0.3464,-0.3201,-1.4115,0.1544,0.3888,-2.2677
TRNT1,0.4535,-0.566,-1.5407,1.0194,0.5159,0.7071,-0.1915,0.1118,1.3354,0.8397
IL12RB1,0.9829,-0.4149,-0.0781,0.408,-0.5968,-0.668,-0.1713,-0.5464,-0.0175,1.1287
CST7,-1.053,-0.4122,-0.8359,0.4847,-0.713,-1.8604,-0.3175,-0.4853,0.1582,0.3032
ETV3,0.0522,0.3265,-1.0041,-1.0523,-0.2809,-0.8224,-0.0748,0.4961,-0.0064,-0.4618
KRTAP23-1,-0.8306,0.83,0.9698,-0.8318,0.5692,-0.2638,-0.9208,1.5004,-1.5594,0.8702
BF732433,0.1901,0.4641,-0.4737,0.3327,-1.1935,-1.9479,0.4042,-0.1597,-0.8454,-1.5175
NUP54,-0.2465,0.016,-0.139,0.4667,1.2727,-0.1554,-0.1758,-0.4225,-0.329,-0.7808
MIB1,0.3386,-0.429,-0.0379,0.1722,0.7676,-0.2338,1.1273,0.922,1.7799,-1.1246
UBR1,0.9714,0.2015,-0.4631,0.2868,1.0823,0.7092,-0.1533,0.8033,3.9603,1.3129
OR2F2,0.1983,-0.2935,0.5285,0.3416,-2.3718,-0.0303,-1.5053,-0.2318,-0.2997,0.1548
MAPK4,-0.2193,-0.398,-0.4981,-0.4133,0.7578,-0.5313,-0.3841,-0.0574,-0.3815,0.0033
LRRN4,-0.4917,-0.8695,0.0632,-0.2011,-0.0928,-0.889,-1.3114,-0.4196,-0.5293,-0.3865
ZNF512B,-0.8539,0.1561,0.6147,-1.2351,-1.4853,-1.376,-0.5441,0.5022,-0.6463,-0.3627
AA450116,-0.7081,-0.6618,-2.1722,0.8368,-0.1834,1.1019,-0.0772,-0.8282,0.674,-0.5174
DCX,-0.2623,-0.2662,-0.0108,-0.5481,0.2004,-0.7752,0.7341,-0.4657,-0.3297,-0.3042
KCNK15,1.9709,-0.5483,2.4583,3.0338,-0.1258,1.6583,-0.2619,2.4479,0.2228,0.3368
CA391220,-1.7571,-0.7749,-1.804,0.5833,0.1996,0.3503,-0.2827,0.0247,-0.2874,-0.3323
FAN1,-0.9968,-1.916,-0.4344,-1.3358,-0.7579,-0.141,-0.7023,0.6325,-1.3706,-0.6451
SCARB2,0.9121,-0.3594,0.2283,-0.0584,-0.2805,-1.1871,0.8535,-1.064,-1.742,0.1585
TOPORS,-1.6161,-1.0065,-0.5715,0.2819,1.1549,0.1079,0.623,-0.9913,0.6006,0.7441
PCOLCE2,-0.8566,-0.6409,-0.9176,-1.1061,-0.999,-0.7656,-0.0946,0.3101,0.6978,0.2164
PRKD3,0.5897,-1.9269,0.5186,-0.1264,1.0415,0.5462,-0.1661,-0.7441,-1.4261,-0.7955
CD558500,1.21,0.4124,0.8084,1.3831,-0.2253,0.7025,0.2274,-0.9649,-0.1524,0.5281
IL22RA2,1.4241,-0.0257,0.5705,1.2105,-0.8441,0.0461,0.6859,0.2973,0.4907,1.8818
AA844688,-2.2463,0.3944,-1.3177,-1.0118,0.3975,-0.8081,0.7553,-0.411,-1.566,3.4499
SELP,-0.9704,-0.8131,-1.5528,-0.5358,-0.6177,0.0295,0.5784,-0.4421,-0.3041,-0.317
OPHN1,-0.2309,-0.3341,-1.0612,1.6158,-1.0758,-1.0019,1.6265,-0.2874,-0.9921,2.5728
ELMOD1,0.9369,0.5569,0.0848,-0.3201,-0.0331,-0.2714,-0.5105,0.2636,0.9631,-0.627
BC037929,-0.5356,-0.1953,-0.2442,0.4746,0.2394,-0.3013,-1.0727,-0.7394,-1.0855,-0.2844
AKAP1,0.4712,0.1267,0.1127,-0.1463,0.8832,0.2584,0.0363,2.2541,-0.6497,-0.7021
